饭,fàn,food
吃,chī,eat
喝,hē,drink
可乐,kělè,cola
水,shuǐ,water
啤酒,píjiǔ,beer
水果酒,shuǐguǒjiǔ,wine
果汁,guǒzhī,fruit juice
咖啡,kāfēi,coffee
茶,chá,tea
奶,nǎi,milk
早饭,zǎofàn,breakfast
午饭,wǔfàn,lunch
晚饭,wǎnfàn,supper
晚饭,wǎnfàn,dinner
面包,miànbāo,bread
米,mǐ,rice
果酱,guǒjiàng,jam
香蕉,xiāngjiāo,banana
橙,chéng,orange
苹果,píngguǒ,apple
菠萝,bōluó,pineapple
芒果,mángguǒ,mango
谷类,gǔlèi,cereal
油炸圈饼,yóuzháquānbǐng,doughnut
三明治,sānmíngzhì,sandwich
肉,ròu,meat
干酪,gānlào,cheese
生菜,shēngcài,lettuce
芥末,jièmo,mustard
番茄酱,fānqiéjiàng,ketchup
盐,yán,salt
牛肉,niúròu,beef
鸡,jī,chicken
鱼,yú,fish
猪肉,zhūròu,pork
香肠,xiāngcháng,sausage
汉堡包,hànbǎobāo,hamburger
餐馆,cānguǎn,restaurant
